codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,sector,area,modalidad,jornada,plan,departamental,establecimiento_norm,direccion_norm,telefono_norm
20-01-0036-46,20-001,Chiquimula,chiquimula,instituto normal para varones de oriente,6a ave. 4-10 z 1,79420425,cesar adalberto noguera jacome,balvino chacón pérez,oficial,urbana,monolingue,matutina,diario(regular),chiquimula,normal para varones de oriente,6a ave. 4-10 z 1,79420425
20-01-0038-46,20-027,Chiquimula,chiquimula,liceo la salle,6a calle 3-61 z 1,79420328,silvia marilena buezo martinez,juan modesto sicay tóc,privado,urbana,monolingue,matutina,diario(regular),chiquimula,la salle,6a calle 3-61 z 1,79420328
20-01-0040-46,20-024,Chiquimula,chiquimula,colegio privado mixto sagrada familia,6a ave. 5-68 z 1,79420232,silvia marilena buezo martinez,dámarys judith díaz tejada,privado,urbana,monolingue,matutina,diario(regular),chiquimula,privado mixto sagrada familia,6a ave. 5-68 z 1,79420232
20-01-0041-46,99-001,Chiquimula,chiquimula,instituto moderno chiquimulteco,calle hugo leonel bacaro 9-30 z 1,FORMATO_INV,silvia eugenia valdez monterroso de carballo,sin_director,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,moderno chiquimulteco,calle hugo leonel bacaro 9-30 z 1,
20-01-0176-46,20-024,Chiquimula,chiquimula,colegio privado mixto bendicion,4a. calle a 13-25 z 1,41007884,silvia marilena buezo martinez,axel yovany villela monroy,privado,urbana,monolingue,doble,fin de semana,chiquimula,privado mixto bendicion,4a. calle a 13-25 z 1,41007884
20-01-0181-46,20-024,Chiquimula,chiquimula,liceo san pablo,2a. calle 4-40 z 1,79421747,silvia marilena buezo martinez,edgar rene andrade saenz,privado,urbana,monolingue,matutina,diario(regular),chiquimula,san pablo,2a. calle 4-40 z 1,79421747
20-01-0184-46,20-027,Chiquimula,chiquimula,colegio privado mixto sabiduria,2da. calle 4-40 z 1,FORMATO_INV,silvia marilena buezo martinez,jose luis lopez peralta,privado,urbana,monolingue,doble,fin de semana,chiquimula,privado mixto sabiduria,2da. calle 4-40 z 1,
20-01-0197-46,20-027,Chiquimula,chiquimula,colegio superior de informatica higa,1ra. calle 5-61 z 2,44043628,silvia marilena buezo martinez,kokman angel chang barela,privado,urbana,monolingue,doble,fin de semana,chiquimula,superior de informatica higa,1ra. calle 5-61 z 2,44043628
20-01-0204-46,20-027,Chiquimula,chiquimula,instituto tecnologico privado de oriente,4a. av 4-20 z 1,79425959,silvia marilena buezo martinez,salomon eliasib alvarez cordón,privado,urbana,monolingue,matutina,diario(regular),chiquimula,tecnologico privado de oriente,4a. av 4-20 z 1,79425959
20-01-0205-46,20-027,Chiquimula,chiquimula,centro educativo integral casa del alfarero,14 av 5-23 z 7 colonia shoropin,37590030,silvia marilena buezo martinez,katherine jazmin gregorio,privado,urbana,monolingue,matutina,diario(regular),chiquimula,educativo integral casa del alfarero,14 av 5-23 z 7 colonia shoropin,37590030
20-01-0213-46,20-024,Chiquimula,chiquimula,liceo israeli,5a. calle 4-11 z 1,79422500,silvia marilena buezo martinez,gladys eugenia rodríguez ramírez,privado,urbana,monolingue,matutina,diario(regular),chiquimula,israeli,5a. calle 4-11 z 1,79422500
20-01-0221-46,20-024,Chiquimula,chiquimula,escuela secundaria privada mixta de oriente esdeo,2da. calle 4-40 z 1,79420290,silvia marilena buezo martinez,erwin leonel colindres monroy,privado,urbana,monolingue,doble,diario(regular),chiquimula,secundaria privada mixta de oriente esdeo,2da. calle 4-40 z 1,79420290
20-01-0232-46,20-024,Chiquimula,chiquimula,colegio bilingue mi pequeno mundo my small world bilingual school,8va. av sur final 1-18 z 4,79425429,silvia marilena buezo martinez,angélica maría mejía morataya,privado,urbana,monolingue,matutina,diario(regular),chiquimula,bilingue mi pequeno mundo my small world bilingual school,8va. av sur final 1-18 z 4,79425429
20-01-0250-46,20-030,Chiquimula,chiquimula,centro de educacion extraescolar ceex grupo ceiba,2da. av y 5ta. calle esquina z 1 la pilona barrio la democracia,42415701,vilma esperanza lopez interiano,donaldo enrique segura franco,oficial,urbana,monolingue,doble,fin de semana,chiquimula,de educacion extraescolar ceex grupo ceiba,2da. av y 5ta. calle esquina z 1 la pilona barrio la democracia,42415701
20-01-0251-46,20-030,Chiquimula,chiquimula,centro de educacion extraescolar ceex cofino stahl,aldea el durazno,55543693,vilma esperanza lopez interiano,rhobbin alexander esquivel cáceres,oficial,rural,monolingue,doble,fin de semana,chiquimula,de educacion extraescolar ceex cofino stahl,aldea el durazno,55543693
20-01-0255-46,20-030,Chiquimula,chiquimula,centro de educacion extraescolar ceex funcafe,6ta av y 4ta. calle z 1,31712671,vilma esperanza lopez interiano,erika julisa oliva duarte,oficial,urbana,monolingue,doble,fin de semana,chiquimula,de educacion extraescolar ceex funcafe,6ta av y 4ta. calle z 1,31712671
20-01-0256-46,20-030,Chiquimula,chiquimula,programa nacional de educacion alternativa pronea,8va. av 6-60 z 1,40104955,vilma esperanza lopez interiano,vilma esperanza lópez interiano,oficial,urbana,monolingue,doble,a distancia,chiquimula,programa nacional de educacion alternativa pronea,8va. av 6-60 z 1,40104955
20-01-0257-46,20-030,Chiquimula,chiquimula,centro de educacion extraescolar ceex departamental,8va. av 6-60 z 1,56170043,vilma esperanza lopez interiano,angel osiel borja pascual,oficial,urbana,monolingue,doble,semipresencial,chiquimula,de educacion extraescolar ceex departamental,8va. av 6-60 z 1,56170043
20-01-0309-46,20-024,Chiquimula,chiquimula,colegio privado mixto bendicion,4 calle a 13-25 z 1,41007884,silvia marilena buezo martinez,axel yovany villela monroy,privado,urbana,monolingue,sin jornada,semipresencial (un día a la semana),chiquimula,privado mixto bendicion,4 calle a 13-25 z 1,41007884
20-01-0311-46,20-024,Chiquimula,chiquimula,colegio evangelico mixto adonai,8va. av 4-40 z 1,79424111,silvia marilena buezo martinez,merari jasmín de león carrillo,privado,urbana,monolingue,sin jornada,semipresencial (un día a la semana),chiquimula,evangelico mixto adonai,8va. av 4-40 z 1,79424111
20-01-0317-46,20-027,Chiquimula,chiquimula,colegio superior de informatica higa,1a. calle 5-62 z 2,53947190,silvia marilena buezo martinez,kokman angel chang barela,privado,urbana,monolingue,sin jornada,semipresencial (un día a la semana),chiquimula,superior de informatica higa,1a. calle 5-62 z 2,53947190
20-01-0324-46,20-027,Chiquimula,chiquimula,colegio privado mixto divina misericordia,6ta. calle poniente z 4 barrio el molino,55974817,silvia marilena buezo martinez,francisca linares rivera,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,privado mixto divina misericordia,6ta. calle poniente z 4 barrio el molino,55974817
20-01-0326-46,20-001,Chiquimula,chiquimula,escuela normal intercultural,10 av 3-71 z 1,79427427,cesar adalberto noguera jacome,wendy marleny roque vargas,oficial,urbana,monolingue,matutina,diario(regular),chiquimula,normal intercultural,10 av 3-71 z 1,79427427
20-01-0327-46,20-001,Chiquimula,chiquimula,instituto normal para varones de oriente,6a. av 4-10 z 1,79420425,cesar adalberto noguera jacome,balvino chacón pérez,oficial,urbana,monolingue,doble,diario(regular),chiquimula,normal para varones de oriente,6a. av 4-10 z 1,79420425
20-01-1846-46,20-001,Chiquimula,chiquimula,escuela normal intercultural,10a. av 3-71 z 1,79427427,cesar adalberto noguera jacome,wendy marleny roque vargas,oficial,urbana,monolingue,doble,diario(regular),chiquimula,normal intercultural,10a. av 3-71 z 1,79427427
20-02-0010-46,20-034,Chiquimula,san jose la arada,instituto mixto de educacion diversificada por cooperativa de ensenanza,colonia las brisas,51309580,byron horacio sarceño zepeda,ludek abdel rosales esquivel,cooperativa,urbana,monolingue,vespertina,diario(regular),chiquimula,mixto de educacion diversificada por cooperativa de ensenanza,colonia las brisas,51309580
20-02-0012-46,20-030,Chiquimula,san jose la arada,centro de educacion extraescolar ceex funcafe,aldea saspan,42580713,vilma esperanza lopez interiano,kathleen gueylin sagastume guerra,oficial,rural,monolingue,doble,fin de semana,chiquimula,de educacion extraescolar ceex funcafe,aldea saspan,42580713
20-03-0001-46,20-003,Chiquimula,san juan ermita,instituto diversificado municipal de san juan ermita,barrio san pedrito,51989697,blanca rosa morales de gutierrez,henry arturo jordán guerra,municipal,urbana,monolingue,vespertina,diario(regular),chiquimula,municipal de san juan ermita,barrio san pedrito,51989697
20-03-0035-46,20-030,Chiquimula,san juan ermita,centro de educacion extraescolar ceex funcafe,aldea chispan jaral,33874323,vilma esperanza lopez interiano,edras jeremías guerra alonzo,oficial,rural,monolingue,doble,fin de semana,chiquimula,de educacion extraescolar ceex funcafe,aldea chispan jaral,33874323
20-03-0073-46,20-003,Chiquimula,san juan ermita,instituto nacional de educacion diversificada,barrio san pedrito,55223225,blanca rosa morales de gutierrez,pablo mauricio compá,oficial,urbana,monolingue,vespertina,diario(regular),chiquimula,nacional de educacion diversificada,barrio san pedrito,55223225
20-04-0097-46,20-004,Chiquimula,jocotan,instituto tecnologico oficial de la mancomunidad chorti,barrio san lorenzo,79465395,sergio estuardo medina gudiel,isis modesta urrutia sandoval,oficial,urbana,monolingue,matutina,diario(regular),chiquimula,tecnologico oficial de la mancomunidad chorti,barrio san lorenzo,79465395
20-04-0110-46,20-004,Chiquimula,jocotan,centro educativo jocoteco bilingue,barrio el cementerio,47894195,sergio estuardo medina gudiel,sildy zulema pelaez,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,educativo jocoteco bilingue,barrio el cementerio,47894195
20-04-0132-46,20-042,Chiquimula,jocotan,instituto privado mixto de educacion basica con orientacion ocupacional fe y alegria no 10 santa maria,barrio san sebastian,79465237,francisco javier guerra pazos,viveca eleonora monroy alvarez,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,privado mixto de educacion basica con orientacion ocupacional fe y alegria no 10 santa maria,barrio san sebastian,79465237
20-04-0136-46,20-004,Chiquimula,jocotan,colegio privado el olam,barrio el cementerio,79465453,sergio estuardo medina gudiel,lindayk gicelena castellón nufio,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,privado el olam,barrio el cementerio,79465453
20-04-0137-46,20-030,Chiquimula,jocotan,centro de educacion extraescolar ceex funcafe,caserio tierra blanca aldea los vados,33874323,vilma esperanza lopez interiano,nohemí elizabeth garcía guzmán,oficial,rural,monolingue,doble,fin de semana,chiquimula,de educacion extraescolar ceex funcafe,caserio tierra blanca aldea los vados,33874323
20-04-0197-46,20-043,Chiquimula,jocotan,liceo vicente carranza lemus,barrio san sebastian boulevard al maestro,59094455,julio cesar caguay gutierres,irene lisseth vanegas castañeda,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,vicente carranza lemus,barrio san sebastian boulevard al maestro,59094455
20-04-0210-46,20-030,Chiquimula,jocotan,centro de educacion extraescolar ceex municipal,aldea matazano,33360297,vilma esperanza lopez interiano,luz amanda ramírez ramírez,oficial,rural,monolingue,doble,semipresencial,chiquimula,de educacion extraescolar ceex municipal,aldea matazano,33360297
20-04-0211-46,20-030,Chiquimula,jocotan,centro de educacion extraescolar ceex municipal,aldea guareruche,47828101,vilma esperanza lopez interiano,maría victoria gerónimo escalante de méndez,oficial,rural,monolingue,doble,semipresencial,chiquimula,de educacion extraescolar ceex municipal,aldea guareruche,47828101
20-04-0212-46,20-030,Chiquimula,jocotan,centro de educacion extraescolar ceex municipal,aldea tontoles,38542069,vilma esperanza lopez interiano,angelica lucia méndez esquivel,oficial,rural,monolingue,doble,semipresencial,chiquimula,de educacion extraescolar ceex municipal,aldea tontoles,38542069
20-04-0213-46,20-030,Chiquimula,jocotan,centro de educacion extraescolar municipal ceex,caserio magueyal aldea pacren,45421031,vilma esperanza lopez interiano,wendy díaz pérez,oficial,rural,monolingue,doble,semipresencial,chiquimula,de educacion extraescolar municipal ceex,caserio magueyal aldea pacren,45421031
20-04-0261-46,20-030,Chiquimula,jocotan,centro de educacion extraescolar ceex pronea asoro,barrio san sebastian,56980041,vilma esperanza lopez interiano,paula karolina lópez ramírez,oficial,urbana,monolingue,matutina,semipresencial,chiquimula,de educacion extraescolar ceex pronea asoro,barrio san sebastian,56980041
20-04-2036-46,20-042,Chiquimula,jocotan,instituto tecnico en recursos naturales maya chorti internmach,caserio tierra blanca aldea los vados,32135589,francisco javier guerra pazos,dalia arleth pérez hernández,privado,rural,monolingue,doble,diario(regular),chiquimula,tecnico en recursos naturales maya chorti internmach,caserio tierra blanca aldea los vados,32135589
20-04-2267-46,20-043,Chiquimula,jocotan,escuela normal rural no 3 rafael iriarte,barrio san lorenzo,79465228,julio cesar caguay gutierres,fidelino huales súchite,oficial,urbana,bilingue,vespertina,diario(regular),chiquimula,normal rural no 3 rafael iriarte,barrio san lorenzo,79465228
20-05-0087-46,20-021,Chiquimula,camotan,instituto nacional de educacion diversificada,aldea muyurco,FORMATO_INV,cesar ramirez hernandez,---,oficial,urbana,monolingue,matutina,diario(regular),chiquimula,nacional de educacion diversificada,aldea muyurco,
20-05-0088-46,20-017,Chiquimula,camotan,instituto nacional de educacion diversificada,barrio el cementerio,FORMATO_INV,glendy aracely garcía pérez,---,oficial,urbana,monolingue,vespertina,diario(regular),chiquimula,nacional de educacion diversificada,barrio el cementerio,
20-05-0254-46,20-017,Chiquimula,camotan,colegio parroquial privado nuestra senora de la anunciacion,barrio la parroquia,79465019,glendy aracely garcía pérez,neyda yadira méndez garcía,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,parroquial privado nuestra senora de la anunciacion,barrio la parroquia,79465019
20-05-1847-46,20-017,Chiquimula,camotan,escuela normal bilingue interculturalturer aj kanseyaj chorti,barrio el cementerio,46254169,glendy aracely garcía pérez,rosana elizabeth pérez vásquez,oficial,urbana,bilingue,matutina,diario(regular),chiquimula,normal bilingue interculturalturer aj kanseyaj chorti,barrio el cementerio,46254169
20-05-1863-46,20-034,Chiquimula,camotan,instituto por cooperativa de ensenanza diversificada,aldea caparja,33448425,byron horacio sarceño zepeda,roberto antonio hernández,cooperativa,rural,monolingue,vespertina,diario(regular),chiquimula,por cooperativa de ensenanza diversificada,aldea caparja,33448425
20-06-0042-46,20-030,Chiquimula,olopa,centro de educacion extraescolar ceex funcafe,aldea tituque,47517698,vilma esperanza lopez interiano,angela rocío díaz urrutia,oficial,rural,monolingue,doble,fin de semana,chiquimula,de educacion extraescolar ceex funcafe,aldea tituque,47517698
20-06-1787-46,20-034,Chiquimula,olopa,instituto diversificado por cooperativa de ensenanza lic mario rolando torres marroquin,olopa,FORMATO_INV,byron horacio sarceño zepeda,isolina bedeth urrutia lemus,cooperativa,urbana,monolingue,vespertina,diario(regular),chiquimula,por cooperativa de ensenanza lic mario rolando torres marroquin,olopa,
20-07-0050-46,20-035,Chiquimula,esquipulas,instituto nacional de educacion diversificada,barrio santa ana z 3,42024937,victoria noemí recinos vidal de hernández,nora lizandra villalobos vidal,oficial,urbana,monolingue,vespertina,diario(regular),chiquimula,nacional de educacion diversificada,barrio santa ana z 3,42024937
20-07-0061-46,20-035,Chiquimula,esquipulas,instituto municipal de educacion diversificada de esquipulas,2da. av 0-20 z 1,42787205,victoria noemí recinos vidal de hernández,lesbia dinora sánchez,municipal,urbana,monolingue,vespertina,diario(regular),chiquimula,municipal de educacion diversificada de esquipulas,2da. av 0-20 z 1,42787205
20-07-0083-46,20-034,Chiquimula,esquipulas,instituto de educacion diversificada por cooperativa de ensenanza,aldea chanmagua,53046838,byron horacio sarceño zepeda,alvaro joel ramírez villeda,cooperativa,rural,monolingue,vespertina,diario(regular),chiquimula,de educacion diversificada por cooperativa de ensenanza,aldea chanmagua,53046838
20-07-0106-46,20-014,Chiquimula,esquipulas,liceo de formacion integral,8a. calle 1-15 z 1 colonia quirio catano ii,79433902,erick estuardo alvarado galván,soledad del carmen lópez rosa,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,de formacion integral,8a. calle 1-15 z 1 colonia quirio catano ii,79433902
20-07-0122-46,20-044,Chiquimula,esquipulas,colegio privado mixto montessori,6ta. av 6-99 z 1 barrio san joaquin,79431270,erick estuardo alvarado galván,milagro de jesús acevedo duarte,privado,urbana,monolingue,doble,diario(regular),chiquimula,privado mixto montessori,6ta. av 6-99 z 1 barrio san joaquin,79431270
20-07-0127-46,20-015,Chiquimula,esquipulas,colegio de educacion para adultos semilla de vida,3a. calle 2-13 z 2,32155033,landelino cruz garcia,edy noé vides mejía,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,de educacion para adultos semilla de vida,3a. calle 2-13 z 2,32155033
20-07-0132-46,20-035,Chiquimula,esquipulas,liceo esquipulteco bilingue,3a. av 4-31 z 1,41897428,victoria noemí recinos vidal de hernández,ana maría pérez hernández,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,esquipulteco bilingue,3a. av 4-31 z 1,41897428
20-07-0143-46,20-030,Chiquimula,esquipulas,centro de educacion extraescolar ceex funcafe,10 calle 6-27 barrio san sebastian,30393716,vilma esperanza lopez interiano,carlos rolando monroy chegüén,oficial,urbana,monolingue,doble,fin de semana,chiquimula,de educacion extraescolar ceex funcafe,10 calle 6-27 barrio san sebastian,30393716
20-07-0145-46,20-035,Chiquimula,esquipulas,colegio privado mixto bendicion,6a. av 6-99 z 1 barrio san joaquin,42194761,victoria noemí recinos vidal de hernández,oscar escobar espino,privado,urbana,monolingue,sin jornada,semipresencial (un día a la semana),chiquimula,privado mixto bendicion,6a. av 6-99 z 1 barrio san joaquin,42194761
20-07-0149-46,20-035,Chiquimula,esquipulas,instituto tecnico industrial henry ford,5ta. calle a 6-74 z 1,32021983,victoria noemí recinos vidal de hernández,roberto velásquez real,privado,urbana,monolingue,sin jornada,semipresencial (un día a la semana),chiquimula,tecnico industrial henry ford,5ta. calle a 6-74 z 1,32021983
20-07-0332-46,20-015,Chiquimula,esquipulas,escuela de educacion diversificada ediver,6a. av. 6-99 z 1,41491485,landelino cruz garcia,héctor leonel salguero morales,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,de educacion diversificada ediver,6a. av. 6-99 z 1,41491485
20-07-0506-46,20-044,Chiquimula,esquipulas,colegio privado mixto montessori,6a. av 6-99 z 1,79431270,erick estuardo alvarado galván,héctor leonel salguero morales,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,privado mixto montessori,6a. av 6-99 z 1,79431270
20-07-1909-46,20-015,Chiquimula,esquipulas,colegio catolico privado mixto san benito,13 calle 6-06 z 1,79431391,landelino cruz garcia,mario ricardo leiva díaz,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,catolico privado mixto san benito,13 calle 6-06 z 1,79431391
20-07-2098-46,20-014,Chiquimula,esquipulas,colegio privado mixto renacimiento,5a. av. 2-25 z 1,79432012,erick estuardo alvarado galván,luis ariel sandoval arana,privado,urbana,monolingue,doble,fin de semana,chiquimula,privado mixto renacimiento,5a. av. 2-25 z 1,79432012
20-07-2365-46,20-014,Chiquimula,esquipulas,colegio privado mixto renacimiento,5a. av 2-25 z 1 esquipulas,FORMATO_INV,erick estuardo alvarado galván,sin_director,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,privado mixto renacimiento,5a. av 2-25 z 1 esquipulas,
20-08-0018-46,20-040,Chiquimula,concepcion las minas,colegio municipal de educacion diversificada,colonia nueva,79435110,sonia faviola franco garcía,sandra erudina espino castillo,municipal,urbana,monolingue,vespertina,diario(regular),chiquimula,municipal de educacion diversificada,colonia nueva,79435110
20-09-0044-46,20-038,Chiquimula,quezaltepeque,colegio catolico privado mixto san francisco de asis,colonia santa filomena z 2,52075093,ricardo uriel samayoa trigueros,juan luis miguel agosto,privado,urbana,monolingue,vespertina,diario(regular),chiquimula,catolico privado mixto san francisco de asis,colonia santa filomena z 2,52075093
20-09-0064-46,20-038,Chiquimula,quezaltepeque,colegio adventista redencion,14 callejon 3-11 z 2 colonia villa lorena,47005938,ricardo uriel samayoa trigueros,blanca edina pérez felipe,privado,urbana,monolingue,matutina,diario(regular),chiquimula,adventista redencion,14 callejon 3-11 z 2 colonia villa lorena,47005938
20-09-0069-46,20-030,Chiquimula,quezaltepeque,centro de educacion extraescolar ceex funcafe,1era. calle 4-59 z 1,33086541,vilma esperanza lopez interiano,sindy yamalí vásquez pascual,oficial,urbana,monolingue,doble,fin de semana,chiquimula,de educacion extraescolar ceex funcafe,1era. calle 4-59 z 1,33086541
20-09-0408-46,20-037,Chiquimula,quezaltepeque,instituto privado mixto nocturno de ciencias comerciales,colonia santa filomena,79440254,mirna marleny juarez perez,reinaldo joél marroquín torres,privado,urbana,monolingue,nocturna,diario(regular),chiquimula,privado mixto nocturno de ciencias comerciales,colonia santa filomena,79440254
20-09-1793-46,20-037,Chiquimula,quezaltepeque,escuela normal de educacion fisica doctor en ciencias politicas y sociales mario rolando torres marroquin,kilometro 197 carretera a esquipulas colonia los pinos,46430310,mirna marleny juarez perez,luis eduardo francisco elgueta andrino,oficial,urbana,monolingue,doble,diario(regular),chiquimula,normal de educacion fisica doctor en ciencias politicas y sociales mario rolando torres marroquin,kilometro 197 carretera a esquipulas colonia los pinos,46430310
20-09-1794-46,20-037,Chiquimula,quezaltepeque,instituto de bachillerato en computacion,3a. av. 1-68 z 1,51578198,mirna marleny juarez perez,william eduardo morales gonzález,oficial,urbana,monolingue,vespertina,diario(regular),chiquimula,de bachillerato en computacion,3a. av. 1-68 z 1,51578198
20-10-0013-46,20-011,Chiquimula,san jacinto,instituto nacional de educacion diversificada,barrio el centro san jacinto,FORMATO_INV,oswaldo rafael salinas brenes,nolvia danilda méndez ramírez,oficial,urbana,monolingue,vespertina,diario(regular),chiquimula,nacional de educacion diversificada,barrio el  san jacinto,
20-10-0020-46,20-030,Chiquimula,san jacinto,centro de educacion extraescolar ceex funcafe,aldea tizubin,55372091,vilma esperanza lopez interiano,dina ramírez marcos,oficial,rural,monolingue,doble,fin de semana,chiquimula,de educacion extraescolar ceex funcafe,aldea tizubin,55372091
20-11-0012-46,20-041,Chiquimula,ipala,instituto nacional de educacion diversificada,aldea el suyate,31049608,juan de dios monroy ramirez,gilmer leonard villafuerte lopez,oficial,rural,monolingue,vespertina,diario(regular),chiquimula,nacional de educacion diversificada,aldea el suyate,31049608
20-11-0030-46,20-039,Chiquimula,ipala,colegio particular mixto proyeccion,1a. av 1-35 z 5,79428303,edgar anibal menendez velasquez,aura guillermina pérez de gálvan,privado,urbana,monolingue,matutina,diario(regular),chiquimula,particular mixto proyeccion,1a. av 1-35 z 5,79428303
20-11-0042-46,20-018,Chiquimula,ipala,colegio adventista el sinai,1a. diagonal 2-32 z 1,32225632,nilda maritza arroyo rodriguez,sandra yanet vásquez,privado,urbana,monolingue,matutina,diario(regular),chiquimula,adventista el sinai,1a. diagonal 2-32 z 1,32225632
00-01-0173-46,01-301,Guatemala,zona 1,instituto normal para senoritas centro america,1a calle 2-64,22323424,lucrecia marisol cermeño gonzález,ingrid mariela espina orellana,oficial,urbana,monolingue,matutina,diario(regular),guatemala norte,normal para senoritas  america,1a calle 2-64,22323424
00-01-0176-46,01-301,Guatemala,zona 1,instituto nacional de bachillerato en computacion,3a calle 15-45,22202223,lucrecia marisol cermeño gonzález,fredy humberto gonzález santisteban,oficial,urbana,monolingue,vespertina,diario(regular),guatemala norte,nacional de bachillerato en computacion,3a calle 15-45,22202223
00-01-0179-46,01-403,Guatemala,zona 1,escuela normal para maestros de educacion musical jesus maria alvarado,10a. av 2-24,58068368,carlos humberto gonzález de león,julio cesar santos campos,oficial,urbana,monolingue,intermedia,diario(regular),guatemala norte,normal para maestros de educacion musical jesus maria alvarado,10a. av 2-24,58068368
00-01-0180-46,01-403,Guatemala,zona 1,escuela nacional de administracion publica lic manuel gregorio lopez santiago,9a calle 2-36,42201837,carlos humberto gonzález de león,julio ernesto gonzález hernández,oficial,urbana,monolingue,nocturna,diario(regular),guatemala norte,nacional de administracion publica lic manuel gregorio lopez santiago,9a calle 2-36,42201837
00-01-0183-46,01-312,Guatemala,zona 1,instituto normal casa central,1a ave. 13-63,22384684,amado salomon flores perez,silvia leticia perén poyón,privado,urbana,monolingue,matutina,diario(regular),guatemala norte,normal casa central,1a ave. 13-63,22384684
00-01-0191-46,01-318,Guatemala,zona 1,instituto mixto coactemalan,11 calle 10-43,22325522,leslie azucena monzon tecun,nancy aleida bances arévalo,privado,urbana,monolingue,matutina,diario(regular),guatemala norte,mixto coactemalan,11 calle 10-43,22325522
00-01-0192-46,01-301,Guatemala,zona 1,instituto profesional de tecnicas comerciales especializadas iptce,7a ave. 3-48,22320733,lucrecia marisol cermeño gonzález,marta josefina lara paniagua,privado,urbana,monolingue,matutina,diario(regular),guatemala norte,profesional de tecnicas comerciales especializadas iptce,7a ave. 3-48,22320733
00-01-0202-46,01-312,Guatemala,zona 1,instituto mixto  miguel de cervantes ,10. calle 1-47,24593860,amado salomon flores perez,carlos rene escobar montenegro,privado,urbana,monolingue,matutina,diario(regular),guatemala norte,mixto miguel de cervantes,10. calle 1-47,24593860
00-01-0204-46,01-301,Guatemala,zona 1,instituto nacional de bachillerato adsc al inca,1a calle 2-64,22323114,lucrecia marisol cermeño gonzález,ingrid mariela espina orellana,oficial,urbana,monolingue,matutina,diario(regular),guatemala norte,nacional de bachillerato adsc al inca,1a calle 2-64,22323114
00-01-0205-46,01-317,Guatemala,zona 1,instituto normal central para senoritas belen,11 ave. 12-20,22329609,mariano domingo estrada teletor,elsa coralia león barrios,oficial,urbana,monolingue,matutina,diario(regular),guatemala norte,normal central para senoritas belen,11 ave. 12-20,22329609
00-01-0208-46,01-403,Guatemala,zona 1,instituto normal mixto nocturno,9a ave. 9-27,55696890,carlos humberto gonzález de león,santos palma contreras,oficial,urbana,monolingue,nocturna,diario(regular),guatemala norte,normal mixto nocturno,9a ave. 9-27,55696890
00-01-0210-46,01-318,Guatemala,zona 1,colegio catolico san pablo,14 calle a 2-41,22305024,leslie azucena monzon tecun,edgar vinicio palencia pacheco,privado,urbana,monolingue,matutina,diario(regular),guatemala norte,catolico san pablo,14 calle a 2-41,22305024
00-01-0212-46,01-307,Guatemala,zona 1,colegio salesiano don bosco,26 calle 2-46 guatemala,22465117,norma aracely palomo franco de diaz,manuel vicente guerra duarte,privado,urbana,monolingue,matutina,diario(regular),guatemala norte,salesiano don bosco,26 calle 2-46 guatemala,22465117
00-01-0220-46,01-312,Guatemala,zona 1,liceo  frances ,5a ave. 9-80,22516728,amado salomon flores perez,ana maria estrada ramirez,privado,urbana,monolingue,matutina,diario(regular),guatemala norte,frances,5a ave. 9-80,22516728
00-01-0222-46,01-317,Guatemala,zona 1,colegio santa monica,10a calle 11-41,22329121,mariano domingo estrada teletor,martha miriela lemus aroche,privado,urbana,monolingue,matutina,diario(regular),guatemala norte,santa monica,10a calle 11-41,22329121
00-01-0223-46,01-312,Guatemala,zona 1,colegio el rosario,15 calle a 2-74,22320361,amado salomon flores perez,teresita beatriz haranzen quinteros,privado,urbana,monolingue,matutina,diario(regular),guatemala norte,el rosario,15 calle a 2-74,22320361
00-01-0224-46,01-312,Guatemala,zona 1,instituto de educacion diversificada colegio europeo,11 calle 3-38,22325512,amado salomon flores perez,---,privado,urbana,monolingue,matutina,diario(regular),guatemala norte,de educacion diversificada  europeo,11 calle 3-38,22325512
00-01-0225-46,01-318,Guatemala,zona 1,colegio comercial guatemalteco,10a calle 11-44,22534824,leslie azucena monzon tecun,charlotte ann afre pyatt,privado,urbana,monolingue,matutina,diario(regular),guatemala norte,comercial guatemalteco,10a calle 11-44,22534824
00-01-0226-46,01-317,Guatemala,zona 1,colegio belga guatemalteco,9a calle 10-38,23148300,mariano domingo estrada teletor,maría teresa rivera castillo,privado,urbana,monolingue,matutina,diario(regular),guatemala norte,belga guatemalteco,9a calle 10-38,23148300
