codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,sector,area,modalidad,jornada,plan,departamental,establecimiento_norm,direccion_norm,telefono_norm
16-01-0664-46,16-031,Alta Verapaz,coban,liceo americano del norte,5ta. av 2-23 z 4,79514754,patricio najarro asencio,josé cupertino reyes garcia,privado,urbana,monolingue,matutina,diario(regular),alta verapaz,americano del norte,5ta. av 2-23 z 4,79514754
16-01-0668-46,16-031,Alta Verapaz,coban,colegio particular mixto imperial,5a calle 1-98 z 3,57101061,patricio najarro asencio,susely beatriz elías pop,privado,urbana,monolingue,doble,diario(regular),alta verapaz,particular mixto imperial,5a calle 1-98 z 3,57101061
16-01-0672-46,16-031,Alta Verapaz,coban,ica,11avenida 1-10 z 1,33509500,patricio najarro asencio,laidy andrea chocooj tiul,privado,urbana,monolingue,matutina,diario(regular),alta verapaz,ica,11avenida 1-10 z 1,33509500
16-01-0678-46,16-031,Alta Verapaz,coban,colegio la libertad,3a. av cinco guion doce 5-12,48979726,patricio najarro asencio,silvia yolanda caal quim,privado,urbana,monolingue,doble,fin de semana,alta verapaz,la libertad,3a. av cinco guion doce 5-12,48979726
16-01-0690-46,16-031,Alta Verapaz,coban,isea la escuela en su casa,1a. av. 4-24 z 2,77930803,patricio najarro asencio,ludwing joel noriega morales,privado,urbana,monolingue,doble,a distancia,alta verapaz,isea la  en su casa,1a. av. 4-24 z 2,77930803
16-01-0694-46,16-031,Alta Verapaz,coban,colegio la libertad,3a. av. 5-12 z 4,55564568,patricio najarro asencio,silvia yolanda caal quim,privado,urbana,monolingue,doble,semipresencial,alta verapaz,la libertad,3a. av. 5-12 z 4,55564568
16-01-0705-46,16-050,Alta Verapaz,coban,programa nacional de educacion alternativa pronea,7a. av. 2-18 d z 1,45587767,maximiliano chub ical,--,oficial,rural,monolingue,doble,a distancia,alta verapaz,programa nacional de educacion alternativa pronea,7a. av. 2-18 d z 1,45587767
16-01-0710-46,16-031,Alta Verapaz,coban,oxford bilingual school,2da. calle 16-94 z 4,79513898,patricio najarro asencio,darwin roberto iglesias de la cruz,privado,urbana,bilingue,matutina,diario(regular),alta verapaz,oxford bilingual school,2da. calle 16-94 z 4,79513898
16-01-0712-46,16-050,Alta Verapaz,coban,enbi centro de educacion extraescolar ceex,10 av 1-25 z 3,79521302,maximiliano chub ical,anabela cecilia bol caal,oficial,urbana,bilingue,vespertina,diario(regular),alta verapaz,enbi  de educacion extraescolar ceex,10 av 1-25 z 3,79521302
16-01-0909-46,16-031,Alta Verapaz,coban,isea la escuela en su casa,2a. calle a 11-10 z 1,77256954,patricio najarro asencio,ludwing joel noriega morales,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz,isea la  en su casa,2a. calle a 11-10 z 1,77256954
16-01-0910-46,16-031,Alta Verapaz,coban,colegio de informatica ceninfav,12 av 2-12 z 1,79521765,patricio najarro asencio,héctor vidal bol cú,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz,de informatica ceninfav,12 av 2-12 z 1,79521765
16-01-0913-46,16-031,Alta Verapaz,coban,instituto mixto privado salud y desarrollo,diagonal 1 1-26 z 1,59584790,patricio najarro asencio,samantha gabriela de la cruz morales,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz,mixto privado salud y desarrollo,diagonal 1 1-26 z 1,59584790
16-01-0918-46,16-031,Alta Verapaz,coban,liceo preuniversitario de norte,3a. av 8-32 z 10,79417346,patricio najarro asencio,zoila imena lópez rodas,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz,preuniversitario de norte,3a. av 8-32 z 10,79417346
16-01-0922-46,16-031,Alta Verapaz,coban,colegio la libertad,3a. av 5-12 z 4,33857209,patricio najarro asencio,silvia yolanda caal quim,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz,la libertad,3a. av 5-12 z 4,33857209
16-01-0926-46,16-005,Alta Verapaz,coban,instituto nacional de educacion diversificada,2a. calle 1-99 z 4 coban,33622052,nora liliana figueroa hernández,selvin edder hernández molina,oficial,urbana,monolingue,nocturna,diario(regular),alta verapaz,nacional de educacion diversificada,2a. calle 1-99 z 4 coban,33622052
16-01-0927-46,16-005,Alta Verapaz,coban,instituto nacional de educacion diversificada,2a. calle 1-99 z 4,33622052,nora liliana figueroa hernández,selvin edder hernández molina,oficial,urbana,monolingue,nocturna,diario(regular),alta verapaz,nacional de educacion diversificada,2a. calle 1-99 z 4,33622052
16-01-0994-46,16-050,Alta Verapaz,coban,centro de educacion extraescolar ceex,barrio chivencorral z 12,49972934,maximiliano chub ical,henrry alexander de los santos mutz,oficial,urbana,monolingue,doble,diario(regular),alta verapaz,de educacion extraescolar ceex,barrio chivencorral z 12,49972934
16-01-0997-46,16-004,Alta Verapaz,coban,centro educativo betania,san benito i,42183442,aquiles giovani bac guevara,sandra julieta pérez ramos,privado,rural,monolingue,vespertina,diario(regular),alta verapaz,educativo betania,san benito i,42183442
16-01-1001-46,16-031,Alta Verapaz,coban,liceo dr ricardo bressani,1a. av 5-56 z 2,79521633,patricio najarro asencio,belsy claribel santisteban archila,privado,urbana,monolingue,doble,virtual a distancia,alta verapaz,dr ricardo bressani,1a. av 5-56 z 2,79521633
