16-01-0651-46,16-031,alta verapaz,coban,centro de formación integral ciudad de la esperanza,6a. av. 10-68 zona 12 colonia el esfuerzo i,77367652,patricio najarro asencio,byron anibal gómez gatica,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-01-0652-46,16-037,alta verapaz,coban,instituto maya comunitario k'amolb'e,aldea nimlajacoc,30621374,cesar rigoberto cuc caal,jose lino quib che,privado,rural,bilingue,vespertina,diario(regular),alta verapaz
16-01-0664-46,16-031,alta verapaz,coban,liceo americano del norte,5ta. avenida 2-23 zona 4,79514754,patricio najarro asencio,josé cupertino reyes garcia,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-01-0668-46,16-031,alta verapaz,coban,colegio particular mixto imperial,"5a calle 1-98, zona 3",57101061,patricio najarro asencio,susely beatriz elías pop,privado,urbana,monolingue,doble,diario(regular),alta verapaz
16-01-0671-46,16-031,alta verapaz,coban,colegio privado mixto tecnológico en informática,2a. calle 12-23 zona 4,79521190,patricio najarro asencio,jorge salvador juárez sierra,privado,urbana,monolingue,doble,diario(regular),alta verapaz
16-01-0672-46,16-031,alta verapaz,coban,ica,11avenida 1-10 zona 1,33509500,patricio najarro asencio,laidy andrea chocooj tiul,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-01-0678-46,16-031,alta verapaz,coban,colegio la libertad,3a. avenida cinco guion doce (5-12),48979726,patricio najarro asencio,silvia yolanda caal quim,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-01-0681-46,16-031,alta verapaz,coban,instituto mixto privado santo domingo,"2a. calle 11-10, zona 2",79529830,patricio najarro asencio,américa nuila luther,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-01-0690-46,16-031,alta verapaz,coban,"isea ""la escuela en su casa""",1a. av. 4-24 zona 2,77930803,patricio najarro asencio,ludwing joel noriega morales,privado,urbana,monolingue,doble,a distancia,alta verapaz
16-01-0694-46,16-031,alta verapaz,coban,colegio la libertad,3a. av. 5-12 zona 4,55564568,patricio najarro asencio,silvia yolanda caal quim,privado,urbana,monolingue,doble,semipresencial,alta verapaz
