establecimiento_canon,direccion_norm,municipio,departamento,codigo,distrito,sector,area,supervisor,director,telefono_norm,modalidad,jornada,plan,departamental
cristiano semillas de amor,5a. calle a 17-15,zona 6,Guatemala,['00-06-0055-46'],01-101,privado,urbana,maria estela marroquin chur de ortega,walter haroldo morales,['22544806'],['monolingue'],['vespertina'],['diario(regular)'],guatemala norte
cristiano semillas del saber,lote no. 7 d calle principal aldea la guardiania,masagua,Escuintla,['05-05-0067-46'],05-031,privado,rural,paulina vicente lobo,edgar amado lópez lémus,['45151334'],['monolingue'],['doble'],['diario(regular)'],escuintla
cristiano sendas nuevas,13 av a 14-46 colonia san rafael z 2,villa nueva,Guatemala,['01-15-0389-46'],01-212,privado,rural,haroldo enrique navas paz,gladis consuelo vásquez merlos,['66293757'],['monolingue'],['vespertina'],['diario(regular)'],guatemala sur
cristiano sendas nuevas,13a. av a 14-46 z 2 colonia san rafael ramirez,villa nueva,Guatemala,"[""['01-15-0539-46', '01-15-0542-46', '01-15-0742-46']""]","['01-411', '01-212', '01-411']","['privado', 'privado', 'privado']","['rural', 'rural', 'urbana']","['juan enrique martinez solano', 'haroldo enrique navas paz', 'juan enrique martinez solano']","['eswin rolando lópez catalán', 'eswin rolando lópez catalán', 'eswin rolando lópez catalán']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['doble', 'doble', 'sin jornada']""]","[""['fin de semana', 'diario(regular)', 'semipresencial (fin de semana)']""]",guatemala sur
cristiano shalem,parcelas municipales el astillero,tiquisate,Escuintla,"[""['05-06-0028-46', '05-06-0138-46']""]","['05-027', '05-027']","['privado', 'privado']","['urbana', 'urbana']","['faustino chique valenzuela', 'faustino chique valenzuela']","['keyla merari reyes tejada', 'keyla merari reyes tejada']",[],"[""['monolingue', 'monolingue']""]","[""['vespertina', 'sin jornada']""]","[""['diario(regular)', 'semipresencial (fin de semana)']""]",escuintla
cristiano shekina,final de la 9a calle z 1,catarina,San Marcos,['12-16-0047-46'],12-116,privado,urbana,josefa albina cifuentes carreto de montiel,marta florencia muñoz de rodriguez,['77227704'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],san marcos
cristiano shekina,final de la 9a. calle z 1,catarina,San Marcos,['12-16-5374-46'],12-116,privado,urbana,josefa albina cifuentes carreto de montiel,marta florencia muñoz de rodriguez,['77227704'],['monolingue'],['matutina'],['diario(regular)'],san marcos
cristiano sol de justicia,lotificacion prados de san juan la noria,tiquisate,Escuintla,['05-06-0148-46'],05-027,privado,rural,faustino chique valenzuela,elmer geovanny basilio perez,['47905706'],['monolingue'],['vespertina'],['diario(regular)'],escuintla
cristiano tabernaculo de la fe,sector iv cambote z 11,huehuetenango,Huehuetenango,['13-01-7090-46'],13-050,privado,rural,reynaldo recinos castillo,eustaquio gómez gómez,['79344338'],['monolingue'],['matutina'],['diario(regular)'],huehuetenango
cristiano terranova,18a. av a 7-63 lote 18 z 6 residenciales planes del frutal,villa nueva,Guatemala,['01-15-0669-46'],01-215,privado,urbana,dora beatriz barrios cruz,lorena del rosario morales lara,['40067680'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
cristiano terranova,1a. calle 7-67 z 5 colonia los planes,villa nueva,Guatemala,['01-15-0772-46'],01-215,privado,urbana,dora beatriz barrios cruz,ingrid leonor oliva girón,['45272439'],['monolingue'],['vespertina'],['diario(regular)'],guatemala sur
cristiano torre fuerte,colonia san carlos,san pedro yepocapa,Chimaltenango,"[""['04-12-0064-46', '04-12-0065-46']""]","['04-030', '04-030']","['privado', 'privado']","['urbana', 'urbana']","['otto vinicio ajtún garcia', 'otto vinicio ajtún garcia']","['edgar eduardo xia mox', 'edgar eduardo xia mox']",[],"[""['monolingue', 'monolingue']""]","[""['vespertina', 'doble']""]","[""['diario(regular)', 'fin de semana']""]",chimaltenango
cristiano torricelli,28 calle 28-00 colonia el molino,chinautla,Guatemala,"[""['01-06-0129-46', '01-06-0153-46']""]","['01-109', '01-109']","['privado', 'privado']","['urbana', 'urbana']","['evelin arminda arriola ramirez', 'evelin arminda arriola ramirez']","['m.a. edwin pedro ruano hernández', 'm.a. edwin pedro ruano hernández']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'matutina']""]","[""['diario(regular)', 'diario(regular)']""]",guatemala norte
cristiano verbo,5ta. calle 5-05 z 6,retalhuleu,Retalhuleu,['11-01-0445-46'],11-004,privado,urbana,miguel angel armas rocha,miguel angel cordero monzón,['41039475'],['monolingue'],['matutina'],['diario(regular)'],retalhuleu
cristiano verbo,calle cirilo flores 4-37 z 1,quetzaltenango,Quetzaltenango,['09-01-0325-46'],09-002,privado,urbana,rosemery guadalupe piedrasanta gramajo de siguenza,smirna elizabeth sosa ramos,['77631051'],['monolingue'],['matutina'],['diario(regular)'],quetzaltenango
cristiano verbo chimaltenango,3a. av de las flores 7-62 quintas los aposentos 1 z 1,chimaltenango,Chimaltenango,['04-01-0194-46'],04-028,privado,urbana,ismael cristal ajcet,anabella mazariegos rivadeneira,['78396501'],['monolingue'],['matutina'],['diario(regular)'],chimaltenango
cristiano verbo los alamos,0 ave. 5-73 z 6 colonia los alamos,san miguel petapa,Guatemala,['01-17-0102-46'],01-204,privado,urbana,alfredo noheli temaj morales,carol viviana salvatierra rustrian,['24806270'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
cristiano verbo zacapa,calzada ramiro de leon carpio a un costado del igss,zacapa,Zacapa,['19-01-0170-46'],19-019,privado,urbana,hugo wilfredo vargas chacon,lidia isabel pérez villeda,['58289369'],['monolingue'],['matutina'],['diario(regular)'],zacapa
cristiano verdad lcv,13 av 04-03 colonia quinta samayoa z 7,zona 7,Guatemala,"[""['00-07-0172-46', '00-07-0224-46']""]","['01-623', '01-623']","['privado', 'privado']","['urbana', 'urbana']","['federico estuardo irungaray samayoa', 'federico estuardo irungaray samayoa']","['marta azucena paz quiñonez', 'marta azucena paz quiñonez']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'sin jornada']""]","[""['fin de semana', 'semipresencial (fin de semana)']""]",guatemala occidente
cristiano verdad lcv,13 av 04-03 z 7 colonia quinta samayoa,zona 7,Guatemala,['00-07-0188-46'],01-623,privado,urbana,federico estuardo irungaray samayoa,marta azucena paz quiñonez,['48467509'],['monolingue'],['doble'],['fin de semana'],guatemala occidente
cristiano verdad lcv,13 av 4-03 colonia quinta samayoa,zona 7,Guatemala,['00-07-9299-46'],01-623,privado,urbana,federico estuardo irungaray samayoa,marta azucena paz quiñonez,['48467509'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
cristiano verdad lcv,13 avenda 04-03 z 7 colonia quinta samayoa,zona 7,Guatemala,['00-07-0191-46'],01-623,privado,urbana,federico estuardo irungaray samayoa,marta azucena paz quiñonez,['48467509'],['monolingue'],['vespertina'],['diario(regular)'],guatemala occidente
cristiano verdad lcv,15 av 01-72 colonia valle del sol z 4,mixco,Guatemala,"['01-08-0914-46', '01-08-0915-46']",01-623,privado,urbana,federico estuardo irungaray samayoa,herbert juan larrieu dardón,['22939829'],['monolingue'],"['doble', 'sin jornada']","['fin de semana', 'semipresencial (fin de semana)']",guatemala occidente
cristiano verdad lcv,15 av 1-72 colonia valle del sol z 4,mixco,Guatemala,['01-08-0832-46'],01-623,privado,urbana,federico estuardo irungaray samayoa,evelin karolay figueróa cifuentes,['22939829'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
cristiano vision eterna,aldea san antonio nejapa,acatenango,Chimaltenango,"[""['04-11-0014-46', '04-11-0015-46']""]","['04-016', '04-016']","['privado', 'privado']","['rural', 'rural']","['doris marleni duarte martínez', 'doris marleni duarte martínez']","['melky jonatán xinic có', 'melky jonatán xinic có']",[],"[""['monolingue', 'monolingue']""]","[""['sin jornada', 'doble']""]","[""['semipresencial (dos días a la semana)', 'fin de semana']""]",chimaltenango
cristo rey,8a. calle 9-06 z 2 barrio la reforma,zacapa,Zacapa,"[""['19-01-0183-46', '19-01-0215-46']""]","['19-019', '19-019']","['privado', 'privado']","['urbana', 'urbana']","['hugo wilfredo vargas chacon', 'hugo wilfredo vargas chacon']","['edna edith ramírez cordón', 'edna edith ramírez cordón']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'sin jornada']""]","[""['fin de semana', 'semipresencial (un día a la semana)']""]",zacapa
cultural ave maria de la asuncion,lote 33 residenciales la selva ciudad san cristobal z 8,villa nueva,Guatemala,['01-15-9501-46'],01-219,privado,urbana,david salomon mejia samayoa,julio rodolfo guerra gutiérrez,['24786391'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
cultural campo real,barrio san lorenzo,jocotan,Chiquimula,"[""['20-04-0065-46', '20-04-0131-46', '20-04-0134-46', '20-04-0256-46']""]","['20-004', '20-004', '20-004', '20-004']","['privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana']","['sergio estuardo medina gudiel', 'sergio estuardo medina gudiel', 'sergio estuardo medina gudiel', 'sergio estuardo medina gudiel']","['gloria estela guerra gutiérrez', 'gloria estela guerra gutiérrez', 'gloria estela guerra gutiérrez', 'gloria estela guerra gutiérrez']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'doble', 'doble', 'sin jornada']""]","[""['diario(regular)', 'diario(regular)', 'fin de semana', 'semipresencial (un día a la semana)']""]",chiquimula
cultural de america,3 calle 2-87 z 2,rabinal,Baja Verapaz,['15-03-0778-46'],15-031,privado,urbana,edgar ovidio sic xitumul,fabio raxcaco ismalej,['79388718'],['monolingue'],['vespertina'],['diario(regular)'],baja verapaz
cultural de america,3era. calle 2-87 z 2,rabinal,Baja Verapaz,['15-03-1888-46'],15-031,privado,urbana,edgar ovidio sic xitumul,fabio raxcaco ismalej,['79388718'],['monolingue'],['vespertina'],['diario(regular)'],baja verapaz
cultural de las americas no 3,11 calle 3-59,zona 1,Guatemala,['00-01-0647-46'],01-403,privado,urbana,carlos humberto gonzález de león,lilian marisol garcia lópez,['22214343'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
cultural de las americas no 3,2a. av 12-23,zona 1,Guatemala,"[""['00-01-0281-46', '00-01-0343-46']""]","['01-316', '01-403']","['privado', 'privado']","['urbana', 'urbana']","['carlos humberto gonzalez de leon', 'carlos humberto gonzález de león']","['brenda paola gonzález recinos', 'hugo valdemar rivas morales']",[],"[""['monolingue', 'monolingue']""]","[""['vespertina', 'doble']""]","[""['diario(regular)', 'fin de semana']""]",guatemala norte
cultural de las americas no 3,2a. av. 12-23,zona 1,Guatemala,['00-01-6999-46'],01-316,privado,urbana,carlos humberto gonzalez de leon,hugo valdemar rivas morales,['22384217'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
cultural de las americas no 3,8 calle 0-30,zona 1,Guatemala,['00-01-0672-46'],01-316,privado,urbana,carlos humberto gonzalez de leon,jesús samayoa aragón,['22321894'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
cultural de las americas no 3,8a. calle 0-30,zona 1,Guatemala,['00-01-0562-46'],01-316,privado,urbana,carlos humberto gonzalez de leon,jesús samayoa aragón,['22384217'],['monolingue'],['vespertina'],['diario(regular)'],guatemala norte
cultural de las americas no 3,8a. calle 00-30 interior 9a.y 8a. calle 00-20,zona 1,Guatemala,['00-01-0752-46'],01-403,privado,urbana,carlos humberto gonzález de león,jesús samayoa aragón,['22321894'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],guatemala norte
cultural espanol,4a. av 3-56,zona 1,Guatemala,"[""['00-01-0456-46', '00-01-0458-46', '00-01-0460-46', '00-01-0799-46']""]","['01-312', '01-403', '01-627', '01-403']","['privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana']","['amado salomon flores perez', 'carlos humberto gonzález de león', 'isaura amparo recinos carrillo', 'carlos humberto gonzález de león']","['elder alcides regalado lemus', 'elder alcides regalado lemus', 'elder alcides regalado lemus', 'elder alcides regalado lemus']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['matutina', 'doble', 'doble', 'sin jornada']""]","[""['diario(regular)', 'fin de semana', 'fin de semana', 'semipresencial (fin de semana)']""]",guatemala norte
cultural sagrada familia no 2,lote 4 manzana a sector 2 villahermosa ii,san miguel petapa,Guatemala,['01-17-8771-46'],01-204,privado,urbana,alfredo noheli temaj morales,gloria estela guerra gutiérrez,['24484100'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
cultural sagrada familia no 2,lote 64 65 y 66 manzana a sector 10 prados de villa hermosa,san miguel petapa,Guatemala,['01-17-0139-46'],01-220,privado,urbana,grelder arceli aguilar avila,rina angelica illescas fuentes,['24646082'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
cultural sagrada familia no 2,lotes 64 65 y 66 manzana a sector 10 prados de villa hermosa z 7,san miguel petapa,Guatemala,['01-17-0289-46'],01-220,privado,urbana,grelder arceli aguilar avila,rina angelica illescas fuentes,[],['monolingue'],['matutina'],['a distancia'],guatemala sur
cumorah pinos,31 calle b 28-97 aldea las tapias,zona 18,Guatemala,"[""['00-18-0154-46', '00-18-0155-46', '00-18-0156-46', '00-18-0161-46', '00-18-0220-46']""]","['01-110', '01-110', '01-110', '01-110', '01-110']","['privado', 'privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana', 'urbana']","['zuhilem yesenia estrada ortiz', 'zuhilem yesenia estrada ortiz', 'zuhilem yesenia estrada ortiz', 'zuhilem yesenia estrada ortiz', 'zuhilem yesenia estrada ortiz']","['maría antonia cap garcía', 'maría antonia cap garcía', 'maría antonia cap garcía', 'maría antonia cap garcía', 'maría antonia cap garcía']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['matutina', 'matutina', 'matutina', 'matutina', 'matutina']""]","[""['diario(regular)', 'diario(regular)', 'diario(regular)', 'diario(regular)', 'diario(regular)']""]",guatemala norte
de  por cooperativa,aldea la candelaria,taxisco,Santa Rosa,['06-09-0032-46'],06-032,cooperativa,rural,marco antonio carbajal fallas,walfred alexi escobar alvarado,['30617107'],['monolingue'],['vespertina'],['diario(regular)'],santa rosa
de  por cooperativa,cabecera municipal,taxisco,Santa Rosa,"['06-09-0046-46', '06-09-1389-46']",06-019,cooperativa,urbana,jose alberto lopez perez,selvin minray guevara rivera,['78749833'],['monolingue'],"['doble', 'vespertina']","['diario(regular)', 'fin de semana']",santa rosa
de aplicaciones integradas guastatoya,barrio el porvenir,guastatoya,El Progreso,['02-01-0562-46'],02-012,privado,urbana,carlota eugenia alburez aguilar,brenda azucena valiente arreaga,['79450840'],['monolingue'],['matutina'],['diario(regular)'],el progreso
de aprendizaje a distancia educativo cade,8a. calle 10-30 colonia vasquez,zona 21,Guatemala,"[""['00-21-0095-46', '00-21-0096-46']""]","['01-635', '01-641']","['privado', 'privado']","['urbana', 'urbana']","['nataly fabiola soto españa de turcios', 'milton alonso alvarez fuentes']","['marco tulio roblero osorio', 'marco tulio roblero osorio']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'sin jornada']""]","[""['a distancia', 'a distancia']""]",guatemala sur
de aprendizaje bilingue no 1,7a. calle 3-96 sector ii colonia. balcones ciudad san cristobal z 8,mixco,Guatemala,['01-08-0407-46'],01-609,privado,urbana,silvia hortensia gonzalez martinez,gryselda ramirez barrientos,['25048292'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
de aprendizaje bilingue no 1,7a. calle 3-96 z 8 balcones ii san cristobal,mixco,Guatemala,['01-08-0548-46'],01-609,privado,urbana,silvia hortensia gonzalez martinez,gryselda ramirez barrientos,['25048292'],['monolingue'],['doble'],['diario(regular)'],guatemala occidente
de aprendizaje integral el cedapri vespertino,13 av 10-20 ciudad nueva,zona 2,Guatemala,['00-02-0044-46'],01-301,privado,urbana,lucrecia marisol cermeño gonzález,elsa delia contreras nájera,['22091616'],['monolingue'],['vespertina'],['diario(regular)'],guatemala norte
de aprendizaje integral en computacion,5a. av 32-28 villas club el dorado ciudad san cristobal z 8 mixco,mixco,Guatemala,['01-08-8440-46'],01-609,privado,urbana,silvia hortensia gonzalez martinez,odalis claribel arias ramirez,['55515824'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
de aprendizaje intelecto intellego,lote no. 333 jardines de santiago,santiago sacatepequez,Sacatepequez,['03-06-0010-46'],03-005,privado,urbana,rosalbina sisimit peren de socop,michelle lucrecia valdés tock,['79641800'],['monolingue'],['matutina'],['diario(regular)'],sacatepéquez
de aprendizaje isos,14 av 0-81 urbanizacion gonzalez z 2,mixco,Guatemala,"[""['01-08-0964-46', '01-08-0965-46']""]","['01-639', '01-639']","['privado', 'privado']","['urbana', 'urbana']","['ludvin ricardo urrutia lorenti', 'ludvin ricardo urrutia lorenti']","['dilia morales hernández', 'dilia morales hernández']",[],"[""['monolingue', 'monolingue']""]","[""['sin jornada', 'doble']""]","[""['semipresencial (fin de semana)', 'semipresencial']""]",guatemala occidente
de aprendizaje isos,14 av 0-81 urbanizacion gonzalez z 2 mixco,mixco,Guatemala,"[""['01-08-0995-46', '01-08-0996-46']""]","['01-639', '01-639']","['privado', 'privado']","['urbana', 'urbana']","['ludvin ricardo urrutia lorenti', 'ludvin ricardo urrutia lorenti']","['dilia morales hernández', 'dilia morales hernández']",[],"[""['monolingue', 'monolingue']""]","[""['sin jornada', 'doble']""]","[""['a distancia', 'a distancia']""]",guatemala occidente
de bachillerato en computacion,17 av 2-250 z 2 totonicapan totonicapan,totonicapan,Totonicapan,['08-01-2234-46'],08-001,oficial,urbana,miguel ajpop vásquez,sara estela cuá de león,['46190931'],['monolingue'],['vespertina'],['diario(regular)'],totonicapán
de bachillerato en computacion,3a. av. 1-68 z 1,quezaltepeque,Chiquimula,['20-09-1794-46'],20-037,oficial,urbana,mirna marleny juarez perez,william eduardo morales gonzález,['51578198'],['monolingue'],['vespertina'],['diario(regular)'],chiquimula
de bachillerato en computacion ads al invo,7ma. calle 29-25 z 3,quetzaltenango,Quetzaltenango,['09-01-2806-46'],09-005,oficial,urbana,juan carlos ronquillo de leon,francisco miguel tirado huinac,['51236366'],['monolingue'],['vespertina'],['diario(regular)'],quetzaltenango
de bachillerato en electricidad de escuintla,1a. av 1-07 calle principal colonia del ferrocarrilero,escuintla,Escuintla,['05-01-2815-46'],05-033,oficial,urbana,remy arturo sinay gudiel,víctor manuel gonzález cruz,['52931075'],['monolingue'],['doble'],['diario(regular)'],escuintla
de caficultura region huista,canton reforma,san antonio huista,Huehuetenango,['13-24-0033-46'],13-060,privado,urbana,aroldo hosberi sosa lópez,jorge pablo pablo,['50166648'],['monolingue'],['doble'],['fin de semana'],huehuetenango
de capacitacion adventista del peten,aldea las lajas,poptun,Peten,['17-12-0119-46'],17-023,privado,rural,edy genis morataya,shirley danelly lopez hernandez,['40690158'],['monolingue'],['doble'],['diario(regular)'],petén
de capacitacion adventista del peten,poptun,poptun,Peten,['17-12-0398-46'],17-023,privado,rural,edy genis morataya,shirley danelly lopez hernandez,['40690158'],['monolingue'],['matutina'],['diario(regular)'],petén
de ciencia y tecnologia,31 av c 11-74 z 7 colonia centroamerica,zona 7,Guatemala,"[""['00-07-0272-46', '00-07-0273-46']""]","['01-639', '01-639']","['privado', 'privado']","['urbana', 'urbana']","['ludvin ricardo urrutia lorenti', 'ludvin ricardo urrutia lorenti']","['juan luis jocón uyú', 'juan luis jocón uyú']",['58996240'],"[""['monolingue', 'monolingue']""]","[""['sin jornada', 'doble']""]","[""['semipresencial (dos días a la semana)', 'semipresencial']""]",guatemala occidente
de ciencia y tecnologia,calzada san juan 37-78 colonia el rodeo,zona 7,Guatemala,"[""['00-07-9092-46', '00-07-9094-46', '00-07-9545-46']""]","['01-617', '01-617', '01-409']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['maria del rosario vargas sandoval', 'maria del rosario vargas sandoval', 'idalia del rosario lopez sandoval de paiz']","['vilma isabel orozco lópez', 'vilma isabel orozco lópez', 'vilma isabel orozco lópez']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['matutina', 'doble', 'doble']""]","[""['diario(regular)', 'fin de semana', 'fin de semana']""]",guatemala occidente
de ciencia y tecnologia,calzada san juan 37-78 z 7 colonia el rodeo,zona 7,Guatemala,['00-07-0214-46'],01-617,privado,urbana,maria del rosario vargas sandoval,vilma isabel orozco lópez,['24321644'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],guatemala occidente
de ciencias agroforestales y vida silvestre icavis,ubicado en el municipio de poptun peten,poptun,Peten,['17-12-0113-46'],17-022,privado,urbana,juan francisco oliva estrada,edgar estuardo tec samayoa,['41117575'],['monolingue'],['vespertina'],['diario(regular)'],petén
de ciencias aplicadas dr carlos aldana mendoza,4. av entre o y 1 calle z 4 barrio san felipe,san cristobal verapaz,Alta Verapaz,"[""['16-03-0092-46', '16-03-0104-46', '16-03-0105-46', '16-03-0106-46']""]","['16-008', '16-008', '16-008', '16-008']","['privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana']","['emiilio rubén caál gualib', 'emiilio rubén caál gualib', 'emiilio rubén caál gualib', 'emiilio rubén caál gualib']","['juan gabriel cal surám', 'delmy damariz choc lópez', 'juan gabriel cal surám', 'juan gabriel cal surám']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'matutina', 'doble', 'doble']""]","[""['diario(regular)', 'fin de semana', 'fin de semana', 'diario(regular)']""]",alta verapaz
de ciencias aplicadas dr carlos aldana mendoza,4a. av entre 0 y 1 calle z 4 barrio san felipe,san cristobal verapaz,Alta Verapaz,['16-03-0245-46'],16-008,privado,urbana,emiilio rubén caál gualib,juan gabriel cal surám,['31479184'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],alta verapaz
de ciencias comerciales,lotificacion villas de santo tomas,santo tomas chichicastenango,Quiche,['14-06-1079-46'],14-007,privado,urbana,carlos manuel tiriquiz tol,linsy joana blanco de león,['55155179'],['monolingue'],['vespertina'],['diario(regular)'],quiché
de ciencias comerciales adscrito al ineb,contiguo al estadio municipal de amatitlan,amatitlan,Guatemala,['01-14-1922-46'],01-201,oficial,urbana,gladys jhoana salguero carballo,aracely martínez gómez,['66335638'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
de ciencias comerciales el progreso,barrio el porvenir,guastatoya,El Progreso,"[""['02-01-0028-46', '02-01-0252-46']""]","['02-014', '02-014']","['privado', 'privado']","['urbana', 'urbana']","['carla marleny aldana rodas', 'carla marleny aldana rodas']","['daniel lópez solís', 'daniel lópez solís']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'matutina']""]","[""['diario(regular)', 'diario(regular)']""]",el progreso
de ciencias comerciales esco,2a. calle 2-17 z 3,san felipe,Retalhuleu,['11-05-0143-46'],11-014,oficial,urbana,julio césar herrera roldán,saúl francisco yorentine juárez,['77725423'],['monolingue'],['vespertina'],['diario(regular)'],retalhuleu
de ciencias comerciales francisco marroquin,av vicente cozza,morales,Izabal,['18-04-0373-46'],18-030,oficial,urbana,zoila elizabeth pineda,olga lilian madrid leiva,['42122556'],['monolingue'],['vespertina'],['diario(regular)'],izabal
de ciencias comerciales las cruces,12 av. 2da calle z 1,las cruces,Peten,['17-13-0148-46'],17-025,privado,rural,fidel omar hernández ramírez,pedro ociel jaime rivas,['79273890'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],petén
de ciencias comerciales las cruces,2 ave. 2 calle z 1,las cruces,Peten,"[""['17-13-0117-46', '17-13-0119-46']""]","['17-025', '17-045']","['privado', 'privado']","['urbana', 'urbana']","['fidel omar hernández ramírez', 'fidel omar hernandez ramirez']","['pedro ociel jaime rivas', 'pedro ociel jaime rivas']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'vespertina']""]","[""['fin de semana', 'diario(regular)']""]",petén
de ciencias comerciales nocturna,10a. av 3-71 z 1,chiquimula,Chiquimula,['20-01-0024-46'],20-001,oficial,urbana,cesar adalberto noguera jacome,héctor alidio ceron brenes,['79422150'],['monolingue'],['nocturna'],['diario(regular)'],chiquimula
de ciencias comerciales por cooperativa,aldea tiucal,asuncion mita,Jutiapa,['22-05-1437-46'],22-017,cooperativa,rural,sandra patricia lopez de cambara,miriam leticia bojórquez lemus,['78744300'],['monolingue'],['matutina'],['diario(regular)'],jutiapa
de ciencias comerciales por cooperativa de ensenanza lic carlos abilio giron noriega,1a. av 7-59 z 1,zaragoza,Chimaltenango,['04-15-0732-46'],04-008,cooperativa,urbana,corina argelia rodas serrano,hector enrique ovalle porras,['78305785'],['monolingue'],['vespertina'],['diario(regular)'],chimaltenango
de ciencias comerciales por cooperativa prof miguel angel francisco juarez perez,1a calle 9-30 z 3,chimaltenango,Chimaltenango,['04-01-0063-46'],04-001,cooperativa,urbana,abimael acuta abaj,gildardo leonel lancerio cabrera,['78396762'],['monolingue'],['intermedia'],['diario(regular)'],chimaltenango
de ciencias comerciales por cooperativa rural mixto san juan bautista,aldea san juan argueta,solola,Solola,['07-01-0693-46'],07-004,cooperativa,rural,víctor miguel menchú menchú,wilmer gabriel menchú ajpacajá,['40579014'],['bilingue'],['vespertina'],['diario(regular)'],sololá
de ciencias comerciales san antonio de padua,barrio el,sayaxche,Peten,"['17-10-0179-46', '17-10-0354-46']",17-018,privado,urbana,hugo rené macz pop,julián gustavo lucero requena,"['30366279', '58041848']",['monolingue'],['doble'],['fin de semana'],petén
de ciencias comerciales san antonio de padua,barrio el  sayaxche,sayaxche,Peten,['17-10-0178-46'],17-018,privado,urbana,hugo rené macz pop,julian carter castellanos,['79286043'],['monolingue'],['vespertina'],['diario(regular)'],petén
de ciencias comerciales y bachillerato en mercadotecnia anexos,av moctezuma 31-02 z 7 colonia bethania guatemala,zona 7,Guatemala,['00-07-0177-46'],01-602,oficial,urbana,idalia del rosario lopez sandoval de paiz,ana patricia lópez lópez,['50166164'],['monolingue'],['nocturna'],['diario(regular)'],guatemala occidente
de ciencias economico contables y comerciales dr juan jose arevalo bermejo,2a. av 12a-84 la alameda z 1,chimaltenango,Chimaltenango,['04-01-3231-46'],04-028,privado,urbana,ismael cristal ajcet,ana judith alonzo siquinajay,['58758080'],['monolingue'],['matutina'],['diario(regular)'],chimaltenango
de ciencias empresariales ecce,barrio el,atescatempa,Jutiapa,"[""['22-07-0021-46', '22-07-1838-46']""]","['22-020', '22-020']","['privado', 'privado']","['urbana', 'urbana']","['marcelina martinez guevara de hernandez', 'marcelina martinez guevara de hernandez']","['marcos vinicio garcía herrera', 'marcos vinicio garcía herrera']",[],"[""['monolingue', 'monolingue']""]","[""['vespertina', 'doble']""]","[""['diario(regular)', 'fin de semana']""]",jutiapa
de ciencias tecnicas,1a. calle 13-59,zona 6,Guatemala,"[""['00-06-0007-46', '00-06-4201-46', '00-06-4365-46']""]","['01-106', '01-101', '01-102']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['cesar arnoldo martinez garcia', 'maria estela marroquin chur de ortega', 'zizi arely lopez chinchilla']","['carlos humberto barrios lópez', 'carlos humberto barrios lópez', 'miriam méndez vásquez']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['doble', 'vespertina', 'matutina']""]","[""['fin de semana', 'diario(regular)', 'diario(regular)']""]",guatemala norte
de ciencias tecnicas,1ra. calle 13-59,zona 6,Guatemala,['00-06-0085-46'],01-106,privado,urbana,cesar arnoldo martinez garcia,carlos humberto barrios lópez,['22881033'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],guatemala norte
